timestamp,price,amount,side
1444175184,1596.09,0.5249,ASK
1444175184,1596.06,0.5249,ASK
1444175184,1596.04,0.1171,ASK
1444175186,1596.02,0.6,BID
1444175204,1596.01,0.0224,BID
1444175204,1596.02,0.557,BID
1444175206,1596.02,0.0001,BID
1444175206,1596.02,0.001,BID
1444175218,1596.36,0.029,BID
1444175219,1596.36,0.436,ASK
1444175223,1596.35,0.0644,BID
1444175223,1596.42,0.0996,BID
1444175224,1596.34,0.0644,BID
1444175225,1596.34,0.0245,BID
1444175230,1596.5,0.211,BID
1444175243,1596.5,0.251,BID
1444175243,1596.5,0.251,BID
1444175248,1596.26,0.153,ASK
1444175259,1596.5,0.2358,BID
1444175264,1596.5,0.0512,BID
1444175264,1596.58,0.0488,ASK
1444175267,1596.46,16.0,BID
1444175267,1596.46,1.53,BID
1444175283,1596.83,0.1,BID
1444175283,1596.85,0.004,BID
1444175284,1596.96,0.1,ASK
1444175284,1596.95,0.0002,ASK
1444175285,1596.82,0.004,BID
1444175285,1597.0,0.3,BID
1444175285,1597.0,0.1,BID
1444175287,1596.84,0.096,ASK
1444175312,1597.13,0.8,BID
1444175314,1597.13,0.6,BID
1444175315,1597.13,0.4,BID
1444175317,1597.13,0.0927,BID
1444175317,1597.13,0.396,BID
1444175317,1597.13,0.104,BID
1444175318,1597.13,0.261,BID
1444175318,1596.49,8.0,BID
1444175318,1596.49,0.937,BID
1444175325,1597.13,0.6,BID
1444175326,1597.13,0.2087,BID
1444175327,1597.15,0.02,BID
1444175328,1597.14,0.01,ASK
1444175328,1597.15,0.054,BID
1444175329,1597.15,0.6261,BID
1444175330,1597.15,0.6261,BID
1444175330,1597.15,1.0,BID
1444175332,1597.15,1.0,BID
1444175333,1597.15,0.3028,BID
1444175333,1597.16,0.0017,BID
1444175334,1597.99,20.802,BID
1444175354,1597.36,0.524,ASK
1444175355,1597.37,0.324,ASK
1444175356,1597.37,0.076,ASK
1444175356,1597.35,0.06,ASK
1444175356,1597.33,0.014,ASK
1444175359,1597.33,0.01,ASK
1444175376,1597.73,0.05,BID
1444175379,1597.73,0.01,BID
1444175380,1597.73,0.01,BID
1444175384,1597.73,0.118,BID
1444175387,1597.73,0.07,ASK
1444175398,1597.97,0.001,BID
1444175407,1597.63,0.0047,BID
1444175407,1597.63,0.06,BID
1444175408,1597.63,0.3353,ASK
1444175435,1597.2,0.06,ASK
1444175435,1597.19,0.02,ASK
1444175435,1597.18,0.0607,ASK
1444175435,1597.18,0.3993,ASK
1444175436,1597.18,0.0007,ASK
1444175436,1597.17,0.0593,ASK
1444175441,1597.17,0.01,ASK
1444175442,1597.17,0.396,ASK
1444175445,1597.18,0.01,ASK
1444175448,1597.18,0.02,ASK
1444175452,1597.18,0.01,ASK
1444175454,1597.18,0.0074,ASK
1444175454,1597.18,0.0198,ASK
1444175454,1597.17,0.5828,ASK
1444175460,1597.17,0.01,ASK
1444175463,1597.17,0.1079,ASK
1444175463,1597.17,0.0474,ASK
1444175463,1597.16,0.181,ASK
1444175464,1597.16,0.1406,ASK
1444175464,1597.16,0.3594,ASK
1444175465,1597.51,13.0,ASK
1444175465,1597.51,2.0,ASK
1444175465,1597.51,4.948,ASK
1444175465,1597.16,0.14,ASK
1444175465,1597.16,0.1267,ASK
1444175465,1597.14,0.5813,ASK
1444175467,1597.0,7.445,ASK
1444175473,1597.0,0.06,BID
1444175473,1597.01,0.0587,BID
1444175473,1597.07,0.01,BID
1444175474,1597.92,14.0,BID
1444175474,1597.92,1.808,BID
1444175474,1597.16,1.059,ASK
1444175498,1597.55,0.0383,BID
1444175498,1597.56,0.383,BID
1444175498,1597.56,0.3827,BID
1444175498,1597.56,0.0003,BID
1444175500,1597.85,0.0262,BID
1444175500,1597.87,0.0931,BID
1444175500,1597.88,0.4,BID
1444175501,1597.88,0.0047,ASK
1444175503,1597.84,0.46,BID
1444175503,1597.9,0.001,BID
1444175506,1597.9,0.016,BID
1444175506,1597.89,0.0593,BID
1444175506,1597.9,0.0476,BID
1444175506,1597.98,0.0377,BID
1444175506,1597.99,0.5,BID
1444175506,1597.99,0.1214,BID
1444175508,1597.87,10.0,BID
1444175508,1597.87,2.725,BID
1444175512,1597.99,0.2806,BID
1444175514,1597.99,0.6258,BID
1444175520,1597.87,0.0224,ASK
1444175521,1597.86,0.0224,ASK
1444175523,1597.87,0.0224,ASK
1444175523,1597.79,0.06,ASK
1444175545,1597.74,0.01,BID
1444175546,1597.74,0.01,BID
1444175557,1597.73,0.04,BID
1444175559,1597.76,0.143,ASK
1444175572,1597.78,0.399,BID
1444175575,1597.79,0.3906,BID
1444175576,1597.79,0.02,BID
1444175577,1597.79,0.1559,BID
1444175579,1597.79,0.6,BID
1444175580,1597.78,0.02,BID
1444175580,1597.78,0.011,BID
1444175580,1597.79,0.0205,BID
1444175580,1597.97,0.0138,BID
1444175580,1597.98,0.4347,BID
1444175583,1597.82,0.031,ASK
1444175583,1597.81,0.62,ASK
1444175583,1597.8,0.6,ASK
1444175584,1597.29,0.03,BID
1444175584,1597.29,0.5246,BID
1444175585,1597.29,0.32,BID
1444175585,1597.29,0.2,BID
1444175585,1597.29,0.02,BID
1444175586,1597.29,1.722,BID
1444175586,1597.29,0.2,BID
1444175586,1597.29,0.19,BID
1444175586,1597.29,0.6261,BID
1444175587,1597.29,0.0295,BID
1444175592,1597.79,0.0305,BID
1444175592,1597.8,0.0493,BID
1444175593,1597.8,0.5707,BID
1444175597,1597.96,0.01,BID
1444175598,1597.95,0.0262,BID
1444175599,1597.98,0.0262,BID
1444175600,1597.98,0.5841,BID
1444175600,1598.0,0.0262,BID
1444175601,1597.97,0.5146,BID
1444175601,1598.0,0.0695,BID
1444175602,1598.0,0.2043,BID
1444175602,1598.0,0.2093,BID
1444175602,1598.01,0.0695,BID
1444175605,1598.01,0.01,BID
1444175611,1598.01,0.02,BID
1444175612,1598.01,0.01,BID
1444175613,1598.01,0.1,BID
1444175614,1598.01,0.6258,BID
1444175615,1598.01,0.6258,BID
1444175616,1598.01,0.5244,BID
1444175616,1598.01,0.1014,BID
1444175617,1598.01,0.0136,BID
1444175617,1598.02,0.6122,BID
1444175620,1598.02,0.01,BID
1444175629,1598.02,0.1,BID
1444175630,1598.02,0.6258,BID
1444175631,1598.02,0.6258,BID
1444175633,1598.02,0.6258,BID
1444175634,1598.02,0.6258,BID
1444175635,1598.02,0.6258,BID
1444175637,1598.02,0.6258,BID
1444175639,1598.02,0.6258,BID
1444175640,1598.02,0.8,BID
1444175640,1598.02,0.6258,BID
1444175641,1598.02,0.6258,BID
1444175642,1598.02,0.6258,BID
1444175643,1598.02,0.6258,BID
1444175644,1598.02,0.6258,BID
1444175666,1598.01,12.9863,BID
1444175673,1597.99,0.5,BID
1444175675,1598.01,0.021,BID
1444175676,1598.01,0.01,BID
1444175678,1598.01,0.072,BID
1444175681,1598.0,0.01,ASK
1444175686,1597.96,0.01,ASK
1444175691,1597.96,0.0162,ASK
1444175691,1597.82,0.0793,ASK
1444175691,1597.81,0.0595,ASK
1444175711,1597.53,0.0262,ASK
1444175711,1597.51,0.015,ASK
1444175711,1597.5,0.3,ASK
1444175711,1597.35,0.4,ASK
1444175711,1597.34,0.0764,ASK
1444175712,1597.49,0.0227,BID
1444175712,1597.49,0.2361,BID
1444175712,1597.53,0.01,BID
1444175712,1597.54,0.2788,ASK
1444175765,1597.9,0.0097,BID
1444175765,1597.99,0.4,BID
1444175765,1598.0,0.7703,BID
1444175769,1597.35,0.0097,ASK
1444175769,1597.34,0.0003,ASK
1444175770,1597.34,0.01,ASK
1444175771,1597.35,0.4,ASK
1444175771,1597.34,0.0233,ASK
1444175771,1597.34,0.39,ASK
1444175771,1597.33,0.0583,ASK
1444175771,1597.32,0.1517,ASK
1444175773,1597.33,0.01,BID
1444175785,1597.35,0.4,ASK
1444175800,1597.34,0.6,ASK
1444175803,1597.32,0.01,ASK
1444175822,1597.32,0.01,ASK
1444175824,1597.32,0.1834,ASK
1444175824,1597.32,0.01,ASK
1444175825,1597.32,0.65,ASK
1444175826,1597.32,0.65,ASK
1444175826,1597.32,2.9487,ASK
1444175827,1597.31,0.3779,ASK
1444175827,1597.31,0.65,ASK
1444175828,1597.31,0.09,ASK
1444175828,1597.31,0.321,ASK
1444175829,1597.31,0.5618,ASK
1444175830,1597.31,0.1928,ASK
1444175830,1597.31,0.65,ASK
1444175830,1597.31,1.1645,ASK
1444175831,1597.31,0.65,ASK
1444175831,1597.31,0.342,ASK
1444175834,1597.0,0.1136,ASK
1444175834,1597.0,0.01,ASK
1444175835,1597.0,0.1764,ASK
1444175835,1597.0,1.0,ASK
1444175854,1596.97,0.04,BID
1444175883,1596.97,0.699,ASK
1444175884,1596.97,1.8804,ASK
1444175907,1596.94,0.02,BID
1444175907,1596.95,0.6506,BID
1444175907,1596.96,0.65,BID
1444175907,1596.99,0.558,BID
1444175955,1596.25,0.06,ASK
1444175955,1596.24,0.1168,ASK
1444175955,1596.24,0.2232,ASK
1444176002,1596.24,0.01,ASK
1444176004,1596.96,5.0,ASK
1444176004,1596.96,5.0,ASK
1444176004,1596.96,0.759,ASK
1444176007,1596.24,0.01,ASK
1444176029,1596.25,0.0357,ASK
1444176029,1596.24,0.5643,ASK
1444176036,1596.96,0.06,BID
1444176036,1596.97,0.1357,BID
1444176038,1596.97,0.549,ASK
1444176038,1596.97,1.0,ASK
1444176038,1596.97,2.078,ASK
1444176040,1596.97,5.804,ASK
1444176040,1596.97,0.1503,ASK
1444176040,1596.97,0.3,ASK
1444176040,1596.97,0.59,ASK
1444176041,1596.97,0.65,ASK
1444176042,1596.97,0.2,ASK
1444176042,1596.97,0.65,ASK
1444176042,1596.97,0.895,ASK
1444176043,1596.97,0.65,ASK
1444176044,1596.97,0.65,ASK
1444176044,1596.97,0.2,ASK
1444176045,1596.97,0.65,ASK
1444176046,1596.97,0.65,ASK
1444176047,1596.97,0.155,ASK
1444176047,1596.97,0.04,ASK
1444176047,1596.97,0.65,ASK
1444176047,1596.97,0.166,ASK
1444176048,1596.97,0.65,ASK
1444176049,1596.97,0.65,ASK
1444176049,1596.97,0.334,ASK
1444176050,1596.98,0.0228,ASK
1444176050,1596.98,0.65,ASK
1444176051,1596.98,0.2,ASK
1444176052,1596.98,0.0309,ASK
1444176053,1596.98,0.1023,ASK
1444176053,1596.97,0.2309,ASK
1444176053,1596.97,2.0,ASK
1444176054,1596.97,0.1332,ASK
1444176056,1596.97,0.2,ASK
1444176057,1596.97,0.65,ASK
1444176058,1596.97,0.7989,ASK
1444176058,1596.97,0.65,ASK
1444176058,1596.97,1.0,ASK
1444176060,1596.97,1.0,ASK
1444176060,1596.97,1.2193,ASK
1444176060,1596.97,0.1092,ASK
1444176061,1596.97,0.2193,ASK
1444176061,1596.97,0.65,ASK
1444176062,1596.97,2.7932,ASK
1444176062,1596.97,0.65,ASK
1444176063,1596.97,2.5739,ASK
1444176063,1596.98,0.115,ASK
1444176063,1596.97,0.535,ASK
1444176063,1596.97,0.15,ASK
1444176064,1596.97,3.8671,ASK
1444176064,1596.97,1.293,ASK
1444176064,1596.97,0.65,ASK
1444176064,1596.97,1.0,ASK
1444176064,1596.97,0.2932,ASK
1444176065,1596.97,0.15,ASK
1444176065,1596.97,0.65,ASK
1444176065,1596.97,0.224,ASK
1444176066,1596.97,0.65,ASK
1444176066,1596.97,0.01,ASK
1444176067,1596.97,0.24,ASK
1444176068,1596.97,0.1569,ASK
1444176068,1596.97,0.65,ASK
1444176069,1596.97,0.0321,ASK
1444176069,1596.97,6.499,ASK
1444176069,1596.97,0.65,ASK
1444176069,1596.97,0.0288,ASK
1444176070,1596.97,0.2,ASK
1444176070,1596.97,1.8814,ASK
1444176070,1596.97,0.642,ASK
1444176071,1596.97,1.8526,ASK
1444176072,1596.97,0.65,ASK
1444176072,1596.97,0.1597,ASK
1444176073,1596.97,2.0,ASK
1444176073,1596.97,0.65,ASK
1444176073,1596.97,0.01,ASK
1444176073,1596.97,0.65,ASK
1444176074,1596.97,0.315,ASK
1444176074,1596.97,0.4,ASK
1444176074,1596.97,0.65,ASK
1444176074,1596.97,0.15,ASK
1444176075,1596.97,0.6026,ASK
1444176075,1596.97,0.6026,ASK
1444176076,1596.97,0.5807,ASK
1444176077,1596.97,0.65,ASK
1444176077,1596.97,1.7983,ASK
1444176077,1596.97,0.65,ASK
1444176078,1596.97,1.2176,ASK
1444176078,1596.97,0.65,ASK
1444176080,1596.97,0.65,ASK
1444176082,1596.97,0.01,ASK
1444176084,1596.97,0.0442,ASK
1444176085,1596.97,0.6,ASK
1444176085,1596.97,1.4904,ASK
1444176086,1596.97,0.0172,ASK
1444176110,1596.97,0.6933,ASK
1444176116,1596.97,0.6,ASK
1444176126,1596.97,3.7858,ASK
1444176176,1596.95,0.0287,BID
1444176176,1596.96,0.0713,BID
1444176180,1596.96,0.0287,BID
1444176181,1596.96,0.3,BID
1444176181,1596.96,0.7347,BID
1444176182,1596.96,0.3303,BID
1444176182,1596.97,0.5592,BID
1444176183,1596.97,1.365,BID
1444176183,1596.97,1.216,BID
1444176183,1596.97,0.149,BID
1444176184,1596.97,0.151,BID
1444176184,1596.99,0.092,BID
1444176185,1596.99,0.4,ASK
1444176186,1596.99,0.6,ASK
1444176189,1596.99,0.102,ASK
1444176189,1596.99,0.01,ASK
1444176220,1596.98,0.11,BID
1444176256,1597.15,0.002,BID
1444176257,1597.28,11.0,BID
1444176257,1597.28,3.071,BID
1444176275,1597.25,0.008,ASK
1444176275,1597.09,0.06,ASK
1444176275,1597.0,0.0657,ASK
1444176275,1597.0,0.0619,ASK
1444176276,1596.99,1.5654,ASK
1444176276,1596.99,0.11,ASK
1444176276,1596.53,0.0287,ASK
1444176276,1596.51,0.0557,ASK
1444176276,1596.49,0.001,ASK
1444176276,1596.42,0.01,ASK
1444176276,1596.41,0.1,ASK
1444176276,1596.41,0.1,ASK
1444176276,1596.32,0.02,ASK
1444176276,1596.24,0.0092,ASK
1444176277,1597.0,0.304,BID
1444176351,1596.33,0.4,ASK
1444176352,1596.33,0.051,BID
1444176352,1596.33,0.064,BID
1444176352,1596.33,0.334,BID
1444176353,1596.33,0.0876,BID
1444176353,1596.33,0.6,BID
1444176354,1596.33,3.0,BID
1444176354,1596.33,0.0887,BID
1444176354,1596.33,0.3747,BID
1444176354,1596.98,0.06,BID
1444176354,1596.99,0.001,BID
1444176354,1597.27,0.0794,BID
1444176354,1597.29,0.0325,BID
1444176354,1597.29,0.05,BID
1444176354,1597.3,0.65,BID
1444176354,1597.3,1.0,BID
1444176354,1597.32,0.03,BID
1444176354,1597.33,0.6,BID
1444176354,1597.34,0.0771,BID
1444176355,1596.44,13.662,BID
1444176355,1596.52,0.01,ASK
1444176355,1596.43,1.399,ASK
1444176356,1596.44,0.02,ASK
1444176356,1596.43,0.4014,ASK
1444176356,1596.48,4.0,ASK
1444176356,1596.48,11.637,ASK
1444176422,1596.49,0.0374,ASK
1444176425,1596.49,0.0226,ASK
1444176427,1596.48,0.0226,ASK
1444176428,1596.48,0.0024,ASK
1444176428,1596.47,0.0226,ASK
