timestamp,price,amount,side
1444690882,1582.84,0.1,ASK
1444690883,1582.84,0.142,ASK
1444690883,1582.83,0.1,ASK
1444690884,1582.96,0.01,BID
1444690884,1582.86,0.158,ASK
1444690884,1582.83,0.084,ASK
1444690890,1582.94,0.013,BID
1444690890,1582.95,0.2608,BID
1444690890,1582.96,0.0472,BID
1444690891,1582.96,0.0131,BID
1444690893,1582.97,0.0113,BID
1444690893,1582.98,0.2259,BID
1444690893,1582.99,0.1473,BID
1444690894,1583.02,0.01,ASK
1444690894,1583.01,0.0125,ASK
1444690894,1582.96,0.0775,ASK
1444690895,1583.01,0.2477,ASK
1444690896,1583.01,0.0125,ASK
1444690900,1583.03,0.06,BID
1444690901,1583.08,0.01,BID
1444690904,1583.06,0.1,ASK
1444690905,1583.06,0.13,ASK
1444690919,1583.04,0.06,ASK
1444690919,1583.01,0.04,ASK
1444690925,1583.03,0.06,BID
1444690925,1583.04,0.0165,BID
1444690925,1583.05,0.1,BID
1444690925,1583.05,0.1135,BID
1444690926,1583.05,0.06,BID
1444690929,1583.04,0.06,ASK
1444690929,1583.01,0.04,ASK
1444690930,1583.01,0.0438,ASK
1444690940,1582.96,0.1,ASK
1444690941,1582.96,0.0702,ASK
1444690949,1582.83,0.0433,ASK
1444690949,1582.77,0.0567,ASK
1444690952,1582.82,0.0433,BID
1444690955,1583.07,0.0274,BID
1444690955,1583.08,0.0159,BID
1444690968,1582.88,0.06,ASK
1444690968,1582.77,0.0853,ASK
1444690968,1582.76,0.002,ASK
1444690968,1582.64,0.001,ASK
1444690968,1582.64,0.001,ASK
1444690968,1582.64,0.001,ASK
1444690968,1582.64,0.001,ASK
1444690968,1582.64,0.001,ASK
1444690968,1582.64,0.001,ASK
1444690968,1582.63,0.001,ASK
1444690968,1582.63,0.001,ASK
1444690968,1582.62,0.001,ASK
1444690968,1582.62,0.001,ASK
1444690968,1582.62,0.001,ASK
1444690968,1582.62,0.001,ASK
1444690972,1582.78,0.0465,BID
1444690978,1582.77,0.01,BID
1444690978,1582.61,0.001,ASK
1444690978,1582.61,0.001,ASK
1444690978,1582.61,0.001,ASK
1444690978,1582.6,0.001,ASK
1444690978,1582.6,0.001,ASK
1444690978,1582.6,0.001,ASK
1444690978,1582.6,0.001,ASK
1444690978,1582.59,0.001,ASK
1444690978,1582.59,0.001,ASK
1444690978,1582.58,0.001,ASK
1444690978,1582.57,0.001,ASK
1444690978,1582.57,0.001,ASK
1444690978,1582.57,0.001,ASK
1444690978,1582.57,0.001,ASK
1444690978,1582.57,0.001,ASK
1444690978,1582.56,0.001,ASK
1444690978,1582.56,0.001,ASK
1444690978,1582.55,0.001,ASK
1444690978,1582.55,0.001,ASK
1444690978,1582.54,0.001,ASK
1444690978,1582.54,0.001,ASK
