timestamp,price,amount,side
1444431947,1574.08,0.0785,ASK
1444431947,1574.08,0.498,ASK
1444431947,1574.07,0.1577,ASK
1444431947,1574.05,0.1252,ASK
1444431947,1574.05,0.0249,BID
1444431951,1574.03,0.0161,BID
1444431952,1574.06,0.1,BID
1444431952,1574.07,0.0785,BID
1444431956,1574.09,0.7877,ASK
1444431957,1574.09,0.4455,ASK
1444431974,1574.03,0.01,ASK
1444431976,1574.03,0.0094,ASK
1444431976,1574.03,0.0006,ASK
1444431977,1574.07,0.01,BID
1444431980,1574.03,0.01,ASK
1444431984,1574.07,0.01,BID
1444432001,1574.03,0.001,ASK
1444432011,1574.07,0.0228,BID
1444432011,1574.07,0.02,BID
1444432012,1574.07,0.0199,BID
1444432012,1574.08,0.0229,BID
1444432014,1574.03,0.01,ASK
1444432016,1574.03,0.0034,ASK
1444432016,1574.03,0.0066,ASK
1444432020,1574.03,0.0055,ASK
1444432020,1574.03,0.0045,ASK
1444432021,1574.07,0.0127,BID
1444432021,1574.07,0.0289,BID
1444432022,1574.08,0.0416,BID
1444432023,1574.03,0.0099,ASK
1444432023,1574.03,0.0001,ASK
1444432026,1574.03,0.001,ASK
1444432027,1574.03,0.01,ASK
1444432029,1574.03,0.001,ASK
1444432029,1574.03,0.009,ASK
1444432044,1574.03,0.0055,ASK
1444432044,1574.03,0.021,ASK
1444432044,1574.02,0.5,ASK
1444432044,1574.02,0.0304,ASK
1444432044,1574.01,0.6081,ASK
1444432044,1573.89,0.015,ASK
1444432067,1574.0,0.0613,BID
1444432067,1574.01,0.0553,BID
1444432067,1574.02,0.0265,BID
1444432067,1574.02,0.001,BID
1444432067,1574.07,0.0127,BID
1444432067,1574.07,0.0212,BID
1444432067,1574.08,0.14,BID
1444432067,1574.08,0.65,BID
1444432067,1574.15,0.0355,BID
1444432067,1574.16,0.001,BID
1444432067,1574.17,0.001,BID
1444432067,1574.19,0.001,BID
1444432067,1574.19,0.001,BID
1444432067,1574.19,0.001,BID
1444432067,1574.19,0.001,BID
1444432067,1574.19,0.001,BID
1444432067,1574.19,0.001,BID
1444432067,1574.2,0.01,BID
1444432067,1574.21,0.1585,BID
1444432091,1574.21,0.01,BID
1444432092,1574.05,0.0614,ASK
1444432092,1574.04,0.007,ASK
1444432123,1574.13,0.001,ASK
1444432143,1574.21,0.03,BID
1444432144,1574.21,0.0546,BID
1444432147,1574.22,0.01,ASK
1444432148,1574.24,0.001,BID
1444432148,1574.25,0.009,ASK
1444432148,1574.22,0.001,ASK
1444432150,1574.22,0.01,ASK
1444432150,1574.22,0.001,ASK
1444432154,1574.27,0.001,BID
1444432155,1574.41,3.342,BID
1444432166,1574.29,0.1671,ASK
1444432166,1574.27,0.001,ASK
1444432166,1574.24,0.0124,ASK
1444432166,1574.24,0.0299,ASK
1444432166,1574.24,0.0141,ASK
1444432166,1574.23,1.26,ASK
1444432166,1574.22,0.008,ASK
1444432166,1574.22,0.0846,ASK
1444432166,1574.22,1.0029,ASK
1444432174,1574.3,0.0115,ASK
1444432182,1574.23,0.15,ASK
1444432183,1574.23,0.65,ASK
1444432184,1574.23,0.65,ASK
1444432185,1574.23,0.283,ASK
1444432185,1574.22,0.367,ASK
1444432186,1574.22,0.65,ASK
1444432191,1574.27,0.0053,BID
1444432191,1574.41,0.0115,BID
1444432193,1574.41,0.0865,ASK
1444432195,1574.23,0.0089,ASK
1444432196,1574.23,0.428,ASK
1444432196,1574.24,11.0,ASK
1444432196,1574.24,7.336,ASK
1444432208,1574.23,0.001,BID
1444432208,1574.25,0.0158,BID
1444432211,1574.22,0.269,ASK
1444432211,1574.22,0.1594,ASK
1444432232,1574.16,0.001,ASK
1444432233,1574.16,0.001,BID
1444432240,1574.16,0.0078,BID
1444432240,1574.21,0.0022,BID
