timestamp,price,amount,side
1445298423,1734.98,0.0321,BID
1445298423,1734.99,0.0379,BID
1445298423,1736.31,0.539,BID
1445298429,1734.66,1.0,ASK
1445298429,1734.66,0.213,ASK
1445298429,1734.49,0.2598,ASK
1445298435,1736.29,0.5,BID
1445298435,1736.3,0.6,BID
1445298435,1736.3,0.051,BID
1445298477,1734.65,0.0634,ASK
1445298477,1734.65,0.0317,ASK
1445298477,1734.64,8.6579,ASK
1445298477,1734.64,0.5,ASK
1445298477,1734.63,0.6,ASK
1445298477,1734.62,7.1214,ASK
1445298478,1736.24,12.0,ASK
1445298478,1736.24,20.0,ASK
1445298478,1736.24,4.896,ASK
1445298556,1734.71,0.303,ASK
1445298556,1734.71,0.297,ASK
1445298556,1734.7,0.006,BID
1445298581,1734.57,0.06,ASK
1445298581,1734.56,0.0299,ASK
1445298581,1734.56,0.0301,ASK
1445298581,1734.56,0.0418,ASK
1445298581,1734.55,0.1302,ASK
1445298582,1734.55,0.007,ASK
1445298586,1734.56,0.0321,ASK
1445298586,1734.55,0.3679,ASK
1445298586,1734.55,0.6,ASK
1445298588,1734.55,0.173,ASK
1445298589,1734.55,0.03,ASK
1445298594,1735.45,0.007,BID
1445298610,1735.34,0.0251,BID
1445298610,1735.34,0.01,BID
1445298610,1735.48,0.6,BID
1445298610,1735.49,0.025,BID
1445298610,1735.49,0.0161,BID
1445298610,1735.49,0.1558,BID
1445298610,1735.5,0.5,BID
1445298610,1735.5,4.0,BID
1445298610,1735.5,8.6579,BID
1445298610,1735.69,36.6741,BID
1445298611,1735.69,0.5,ASK
1445298612,1735.69,0.626,ASK
1445298612,1735.69,0.6749,ASK
1445298612,1734.57,47.0,BID
1445298612,1734.57,1.31,BID
1445298624,1735.35,0.0907,ASK
1445298624,1735.34,0.3093,ASK
1445298625,1735.34,0.688,ASK
1445298625,1735.34,0.454,ASK
1445298635,1735.34,0.05,ASK
1445298637,1735.35,0.0321,ASK
1445298637,1735.34,0.2799,ASK
1445298639,1735.34,0.033,ASK
1445298684,1734.62,0.0282,ASK
1445298685,1734.62,0.619,BID
1445298686,1734.62,0.5765,BID
1445298687,1734.62,0.764,BID
1445298687,1734.62,0.5765,BID
1445298687,1734.62,0.249,BID
1445298687,1734.62,0.249,BID
1445298688,1734.62,0.249,BID
1445298688,1734.62,1.18,BID
1445298688,1734.62,0.5765,BID
1445298689,1734.62,0.5765,BID
1445298691,1734.62,0.5765,BID
1445298691,1734.61,0.5,ASK
1445298692,1734.58,10.0,ASK
1445298692,1734.58,6.585,ASK
1445298692,1734.6,0.5765,BID
1445298693,1734.6,0.0485,BID
1445298693,1734.62,0.0685,BID
1445298694,1734.62,0.6058,BID
1445298694,1735.31,0.06,BID
1445298694,1735.33,0.2799,BID
1445298694,1735.33,0.033,BID
1445298694,1736.23,0.2013,BID
1445298695,1734.61,0.004,ASK
1445298711,1734.66,0.03,ASK
1445298711,1734.66,0.0286,ASK
1445298711,1734.66,0.0195,ASK
1445298711,1734.65,0.0319,ASK
